Catch Time,Temp ?,Length (mm),Weight (kg),Age (years),Fight Time (sec),Net Time (sec),TOW (sec),Total Time,RAMP,Hook Location,Status,
5:10 PM,28.78,975,6.44,7,58,139,30,227,2,8L,DEAD,
8:38 PM,31.44,890,4.16,5,30,150,30,210,2,1G / 1T,DEAD,
8:13 PM,32.22,951,5.97,6,42,73,30,145,1,8R/3G,DEAD,
7:45 PM,28.18,958,6.49,7,28,195,30,253,2,2F/5L,ALIVE,
7:28 PM,27.67,983,7.12,7,30,174,30,234,1,2G/2T,ALIVE,
7:02 PM,27.8,806,3.06,4,49,110,30,189,2,2L,ALIVE,
5:12 PM,24.41,1089,8.92,9,36,107,30,173,2,11L,ALIVE,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
