Sample,y,StatusType,Temp,Age,Length,Weight,Sex,FightTime,NetTime,TOW,TotalTime,RAMP,HookLocation
1,1,DEAD,28.78,7,975,6.44,M,58,139,30,227,2,L
2,1,DEAD,31.44,5,890,4.16,M,30,150,30,210,2,G
3,1,DEAD,32.22,6,951,5.97,F,42,73,30,145,1,G
4,0,ALIVE,28.18,7,958,6.49,F,28,195,30,253,2,L
5,0,ALIVE,27.67,7,983,7.12,M,30,174,30,234,1,G
6,0,ALIVE,27.8,4,806,3.06,M,49,110,30,189,2,L
7,0,ALIVE,24.41,9,1089,8.92,F,36,107,30,173,2,L
8,0,ALIVE,27.64,12,1198,12.43,F,35,93,30,158,3,L
9,1,DEAD,30.29,10,1119,9.74,F,71,78,30,179,2,G
10,1,DEAD,28.3,6,946,5.88,M,19,149,30,198,1,E
11,0,ALIVE,29.1,8,1021,7.39,M,30,79,30,139,2,T
12,0,ALIVE,25.32,4,837,4.07,M,39,117,30,186,2,L
13,0,ALIVE,24.79,9,1103,9.55,F,42,114,30,186,2,L
14,0,ALIVE,28.52,8,1072,8.56,M,21,85,30,136,1,L
15,1,DEAD,29.23,4,905,5.14,F,56,139,30,225,3,L
16,0,ALIVE,25.1,4,945,5.54,F,37,80,30,147,2,L
17,1,DEAD,29.95,7,1035,7.93,F,56,151,30,237,2,G
18,0,ALIVE,26.67,4,885,4.85,M,47,144,30,221,1,L
19,0,ALIVE,28.42,4,895,5.32,M,52,49,30,131,2,T
20,0,ALIVE,26.23,6,924,5.12,M,58,147,30,235,3,L
21,1,DEAD,27.73,6,991,6.73,M,58,133,30,221,1,G
22,0,ALIVE,28.13,7,1023,7.49,F,45,47,30,122,1,L
23,1,DEAD,29.85,8,1064,8.27,F,33,69,30,132,2,L
24,0,ALIVE,26.34,5,970,6.24,M,18,134,30,182,2,G
25,1,DEAD,29.36,6,1003,6.98,F,52,106,30,188,2,E
26,0,ALIVE,26.78,7,1048,8.34,F,44,152,30,226,2,L
27,0,ALIVE,28.81,4,827,4.2,M,33,80,30,143,3,L
28,0,ALIVE,28.27,13,1187,14.22,F,36,73,30,139,2,L
29,1,DEAD,30.11,2,784,3.34,F,21,102,30,153,2,L
30,1,DEAD,26.64,6,991,6.71,F,61,167,30,258,1,L
31,0,ALIVE,27.12,5,873,4.92,M,47,110,30,187,2,T
32,0,ALIVE,25.88,6,920,5.47,M,23,57,30,110,3,L
33,0,ALIVE,29.31,7,971,6.56,M,25,92,30,147,2,G
34,0,ALIVE,26.86,3,867,4.27,F,15,54,30,99,3,L
35,0,ALIVE,24.2,7,1026,7.7,M,44,65,30,139,2,L
36,0,ALIVE,27.51,4,955,5.88,M,27,83,30,140,2,L
37,1,DEAD,29.57,4,860,4.83,M,48,107,30,185,0,T
38,0,ALIVE,25.78,5,991,6.92,M,25,145,30,200,3,L
39,0,ALIVE,25.39,4,908,5.25,F,58,53,30,141,2,L
40,1,DEAD,29.27,4,942,5.85,F,25,143,30,198,1,G
41,1,DEAD,29.89,5,958,6.1,F,64,148,30,242,1,G
42,1,DEAD,25.58,5,908,5.24,M,61,166,30,257,2,G
43,0,ALIVE,27.78,6,1013,7.11,M,23,61,30,114,1,L
44,1,DEAD,28.13,5,966,6.31,M,44,132,30,206,2,L
45,1,DEAD,30.79,5,948,5.92,F,56,96,30,182,1,T
46,1,DEAD,30.77,5,908,5.9,M,40,50,30,120,3,E
47,0,ALIVE,25.78,4,862,4.75,F,54,79,30,163,1,L
48,0,ALIVE,26.11,3,874,4.6,F,43,135,30,208,2,L
49,1,DEAD,25.51,7,1012,7.12,M,50,154,30,234,1,L
50,0,ALIVE,26.6,4,872,4.88,F,35,104,30,169,2,T
